Model,Data config,Load model,Section,Features,Metric,Split type,Split size,Output,Model config,Descriptor,Fingerprint,n_bits,n_cv,n_jobs,Patience,Gridsearch,n_iter,recall 0,recall 1,ROC AUC test,ROC AUC val,rparams
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,mordred,morgan,64,5,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,mordred,morgan,64,5,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,mordred,morgan,256,5,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,mordred,morgan,256,5,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,mordred,morgan,512,5,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,mordred,morgan,512,5,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,mordred,morgan,1024,5,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,mordred,morgan,1024,5,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,mordred,maccs,167,5,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,mordred,maccs,167,5,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,mordred,morgan,32,5,-1,10000,True,200,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,mordred,morgan,32,5,-1,10000,True,200,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,15,-1,10000,True,500,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,15,-1,10000,True,500,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,physical,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,15,-1,10000,True,500,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,64,15,-1,10000,True,500,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,64,15,-1,10000,True,500,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,256,15,-1,10000,True,500,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,256,15,-1,10000,True,500,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,512,15,-1,10000,True,500,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,512,15,-1,10000,True,500,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,2048,15,-1,10000,True,500,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,2048,15,-1,10000,True,500,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,maccs,167,15,-1,10000,True,500,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,maccs,167,15,-1,10000,True,500,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,15,-1,10000,True,100,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,15,-1,10000,True,100,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,physical,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,15,-1,10000,True,100,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,64,15,-1,10000,True,100,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,64,15,-1,10000,True,100,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,256,15,-1,10000,True,100,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,256,15,-1,10000,True,100,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,512,15,-1,10000,True,100,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,512,15,-1,10000,True,100,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,2048,15,-1,10000,True,100,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,2048,15,-1,10000,True,100,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,maccs,167,15,-1,10000,True,100,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,maccs,167,15,-1,10000,True,100,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,15,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,15,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,physical,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,15,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,64,15,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,64,15,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,256,15,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,256,15,-1,10000,True,10,,,,,
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,512,15,-1,10000,True,10,,,,,
