Model,Descriptors,n_bits,balanced,ROC AUC,ROC AUC val
lr,['rdkit'],256,0.52205,0.8228,0.7774
knn,['maccs'],256,0.57475,0.551,0.7432
knn,['mordred'],256,0.5444,0.6357,0.5278
knn,"['morgan', 'maccs']",256,0.48375,0.5503,0.6325
knn,"['morgan','mordred']",256,0.52625,0.5976,0.6025
knn,['morgan'],256,0.4634,0.4903,0.6014
knn,"['rdkit', 'maccs']",256,0.5744,0.5511,0.6102
knn,"['rdkit', 'mordred']",256,0.48925,0.7043,0.5249
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.5785,0.6721,0.6035
knn,"['rdkit', 'morgan']",256,0.50565,0.5605,0.5271
knn,['rdkit'],256,0.4754,0.5605,0.4994
svc,"['morgan', 'maccs']",256,0.53845,0.778,0.8522
svc,"['mordred', 'maccs']",256,0.53845,0.7967,0.8321
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.53845,0.7743,0.8051
svc,['maccs'],256,0.53845,0.7674,0.8604
svc,['mordred'],256,0.53845,0.8061,0.8124
svc,"['morgan', 'maccs']",256,0.53845,0.778,0.8517
svc,"['morgan','mordred']",256,0.53845,0.7805,0.8146
svc,['morgan'],256,0.53845,0.7342,0.7415
svc,"['rdkit', 'maccs']",256,0.5605,0.773,0.856
svc,"['rdkit', 'mordred']",256,0.53845,0.8102,0.8084
svc,"['rdkit', 'morgan']",256,0.5,0.7144,0.7885
svc,['rdkit'],256,0.63335,0.8228,0.7553
xgb,"['morgan', 'maccs']",256,0.5303,0.9012,0.8648
xgb,"['morgan','mordred']",256,0.5303,0.8499,0.8179
xgb,['morgan'],256,0.48375,0.818,0.6652
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.75285,0.918,0.8649
xgb,"['rdkit', 'morgan']",256,0.51795,0.8373,0.7852
rf,['maccs'],512,0.5,0.7742,0.7884
rf,['mordred'],512,0.5,0.6704,0.5562
rf,"['morgan', 'maccs']",512,0.53845,0.8247,0.6777
rf,"['morgan','mordred']",512,0.5,0.6385,0.5431
rf,['morgan'],512,0.5,0.7017,0.711
rf,"['rdkit', 'maccs']",512,0.5,0.8802,0.742
rf,"['rdkit', 'mordred']",512,0.53845,0.7963,0.6501
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.53845,0.826,0.6822
rf,"['rdkit', 'morgan']",512,0.5,0.7736,0.6755
rf,['rdkit'],512,0.5,0.7926,0.7209
lr,['maccs'],512,0.59915,0.8643,0.8986
lr,['mordred'],512,0.6154,0.7661,0.7808
lr,"['morgan', 'maccs']",512,0.5303,0.8599,0.8648
lr,"['morgan','mordred']",512,0.5,0.7104,0.6532
lr,['morgan'],512,0.53845,0.8136,0.6663
lr,"['rdkit', 'maccs']",512,0.5687,0.8455,0.8682
lr,"['rdkit', 'mordred']",512,0.53435,0.7301,0.7497
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.53025,0.8335,0.8306
lr,"['rdkit', 'morgan']",512,0.5646,0.8493,0.7076
lr,['rdkit'],512,0.52205,0.8228,0.7774
knn,['maccs'],512,0.57475,0.551,0.7432
knn,['mordred'],512,0.5444,0.6357,0.5278
knn,"['morgan', 'maccs']",512,0.53625,0.5916,0.6003
knn,"['morgan','mordred']",512,0.5829,0.6689,0.5213
knn,['morgan'],512,0.50185,0.4847,0.4733
knn,"['rdkit', 'maccs']",512,0.5744,0.5511,0.6102
knn,"['rdkit', 'mordred']",512,0.48925,0.7043,0.5249
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.5785,0.6718,0.5997
knn,"['rdkit', 'morgan']",512,0.50565,0.6255,0.4612
knn,['rdkit'],512,0.4754,0.5605,0.4994
svc,"['morgan', 'maccs']",512,0.53845,0.8243,0.8397
svc,"['morgan','mordred']",512,0.53845,0.8305,0.7568
svc,['morgan'],512,0.5,0.8261,0.6292
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.5769,0.8108,0.7996
svc,"['rdkit', 'morgan']",512,0.5,0.8235,0.7054
xgb,"['morgan', 'maccs']",512,0.5303,0.9237,0.8059
xgb,"['morgan','mordred']",512,0.5303,0.8487,0.8233
xgb,['morgan'],512,0.5222,0.8236,0.7437
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.71435,0.9269,0.856
xgb,"['rdkit', 'morgan']",512,0.4877,0.7276,0.7774
rf,['maccs'],1024,0.5,0.7829999999999999,0.7819
rf,['mordred'],1024,0.5,0.6836,0.6194
rf,"['morgan', 'maccs']",1024,0.53845,0.8405,0.6866
rf,"['morgan','mordred']",1024,0.5,0.7042,0.5976
rf,['morgan'],1024,0.5,0.7542,0.723
rf,"['rdkit', 'maccs']",1024,0.5,0.8651,0.7464
rf,"['rdkit', 'mordred']",1024,0.5,0.6955,0.6035
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.5,0.7421,0.6622
rf,"['rdkit', 'morgan']",1024,0.5,0.7787,0.6545
rf,['rdkit'],1024,0.5,0.8689,0.7519
lr,['maccs'],1024,0.56875,0.8305,0.8877
lr,['mordred'],1024,0.57285,0.7598,0.7426
lr,"['morgan', 'maccs']",1024,0.5,0.733,0.7677
lr,"['morgan','mordred']",1024,0.5,0.7048,0.6576
lr,['morgan'],1024,0.5,0.723,0.6499
lr,"['rdkit', 'maccs']",1024,0.599,0.877,0.8704
lr,"['rdkit', 'mordred']",1024,0.53435,0.7282,0.7586
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.53845,0.7509,0.7697
lr,"['rdkit', 'morgan']",1024,0.5,0.6866,0.6357
lr,['rdkit'],1024,0.52205,0.8228,0.7774
knn,['maccs'],1024,0.57475,0.551,0.7432
knn,['mordred'],1024,0.5444,0.6357,0.5278
svc,"['morgan', 'maccs']",1024,0.5344,0.8199,0.8506
svc,"['morgan','mordred']",1024,0.591,0.7286,0.6009
svc,['morgan'],1024,0.5,0.7674,0.6859
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.53025,0.8222,0.8151
svc,"['rdkit', 'morgan']",1024,0.5,0.7654,0.7243
xgb,"['morgan', 'maccs']",1024,0.64165,0.9074,0.8648
