Model,Data config,Load model,Section,Features,Metric,Split,Output,Model config,Descriptor,Fingerprint,n_bits,n_cv,n_jobs,Patience,Gridsearch,n_iter,recall 0,recall 1,ROC AUC test,ROC AUC val,rparams
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,2048,15,-1,10000,True,1000,0.17800000000000002,0.9634,0.5707,0.3523,"{'solver': 'sag', 'max_iter': 3000, 'class_weight': 'balanced', 'C': 1000000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,400,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,400,0.37,0.7985,0.5842,0.2955,"{'solver': 'sag', 'max_iter': 50, 'class_weight': 'balanced', 'C': 0.001}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,physical,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,400,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,64,5,-1,10000,True,400,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,64,5,-1,10000,True,400,0.4075,0.8352,0.6213,0.2045,"{'solver': 'sag', 'max_iter': 30, 'class_weight': 'balanced', 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,256,5,-1,10000,True,400,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,256,5,-1,10000,True,400,0.4784,0.8315,0.655,0.1705,"{'solver': 'sag', 'max_iter': 30, 'class_weight': 'balanced', 'C': 1}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,512,5,-1,10000,True,400,0.2476,0.9139,0.5807,0.3409,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,,,/data/model_configs/configs.ini,rdkit,morgan,512,5,-1,10000,True,400,0.5076,0.87,0.6888,0.7045,"{'solver': 'saga', 'max_iter': 10, 'class_weight': 'balanced', 'C': 1100}"
