Model,Descriptors,n_bits,ROC AUC test,ROC AUC val
knn,['rdkit'],1024,0.8557,0.8817
xgb,['maccs'],2048,0.9017,0.8824
xgb,['mordred'],2048,0.8711,0.8878
xgb,"['mordred', 'maccs']",2048,0.8482,0.8474
knn,"['mordred', 'maccs']",2048,0.8824,0.8819
lr,"['mordred', 'maccs']",2048,0.8217,0.8386
rf,"['mordred', 'maccs']",2048,0.8489,0.8493
xgb,"['morgan', 'maccs']",2048,0.9189,0.9021
xgb,"['morgan','mordred']",2048,0.8557,0.8817
xgb,['morgan'],2048,0.9092,0.9008
xgb,"['rdkit', 'maccs']",2048,0.8616,0.8581
xgb,"['rdkit', 'mordred']",2048,0.8678,0.883
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8605,0.8795
xgb,"['rdkit', 'morgan']",2048,0.8671,0.8736
xgb,['rdkit'],2048,0.8377,0.8559
svc,"['morgan', 'maccs']",2048,0.9127,0.895
svc,"['morgan','mordred']",2048,0.8898,0.8861
svc,['morgan'],2048,0.8964,0.905
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8964,0.8895
svc,"['rdkit', 'morgan']",2048,0.8896,0.8947
svc,"['mordred', 'maccs']",2048,0.8756,0.8738
svc,"['morgan', 'maccs']",2048,0.9144,0.8987
svc,"['morgan','mordred']",2048,0.8898,0.8861
svc,['morgan'],2048,0.8959,0.9053
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.9054,0.8999
svc,"['rdkit', 'morgan']",2048,0.8896,0.8947
svc,"['mordred', 'maccs']",2048,0.8815,0.8809
svc,"['morgan', 'maccs']",2048,0.9144,0.8987
svc,"['morgan','mordred']",2048,0.8898,0.8861
svc,['morgan'],2048,0.8959,0.9053
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.9054,0.8999
svc,"['rdkit', 'morgan']",2048,0.8896,0.8947
svc,"['mordred', 'maccs']",2048,0.8815,0.8809
rf,['maccs'],2048,0.9092,0.9008
rf,['mordred'],2048,0.8616,0.8581
rf,"['morgan', 'maccs']",2048,0.8678,0.883
rf,"['morgan','mordred']",2048,0.8605,0.8795
rf,['morgan'],2048,0.8671,0.8736
rf,"['rdkit', 'maccs']",2048,0.8377,0.8559
rf,"['rdkit', 'mordred']",2048,0.9104,0.9009
rf,"['rdkit', 'morgan','mordred', 'maccs']",2048,0.8791,0.89
rf,"['rdkit', 'morgan']",2048,0.9037,0.9051
rf,['rdkit'],2048,0.8690000000000001,0.8856
lr,['maccs'],2048,0.8704,0.8829
lr,['mordred'],2048,0.9047,0.8876
lr,"['morgan', 'maccs']",2048,0.8709,0.8802
lr,"['morgan','mordred']",2048,0.904,0.8878
lr,['morgan'],2048,0.8775,0.8844
lr,"['rdkit', 'maccs']",2048,0.8737,0.8766
lr,"['rdkit', 'mordred']",2048,0.8809999999999999,0.8827
lr,"['rdkit', 'morgan','mordred', 'maccs']",2048,0.878,0.8856
lr,"['rdkit', 'morgan']",2048,0.8747,0.8869
lr,['rdkit'],2048,0.8281,0.8356
knn,['maccs'],2048,0.8734,0.8729
knn,['mordred'],2048,0.8557,0.856
knn,"['morgan', 'maccs']",2048,0.8759999999999999,0.8857
knn,"['morgan','mordred']",2048,0.8735,0.8923
knn,['morgan'],2048,0.8891,0.8909999999999999
knn,"['rdkit', 'maccs']",2048,0.8853,0.8754
knn,"['rdkit', 'mordred']",2048,0.8859999999999999,0.8952
knn,"['rdkit', 'morgan','mordred', 'maccs']",2048,0.8468,0.8587
knn,"['rdkit', 'morgan']",2048,0.856,0.8775
knn,['rdkit'],2048,0.8687,0.8809999999999999
xgb,['maccs'],2048,0.8699,0.8640000000000001
