Model,Descriptors,n_bits,ROC AUC test,ROC AUC val
rf,"['rdkit', 'morgan','mordred', 'maccs']",32,0.8486,0.8422
rf,"['rdkit', 'morgan','mordred', 'maccs']",32,0.8706,0.8739
rf,['maccs'],32,0.8861,0.8773
rf,['mordred'],32,0.8625,0.8809999999999999
rf,"['morgan', 'maccs']",32,0.8747,0.8981
rf,"['morgan','mordred']",32,0.8728,0.8741
rf,['morgan'],32,0.8455,0.8662
rf,"['rdkit', 'maccs']",32,0.8796,0.8651
rf,"['rdkit', 'mordred']",32,0.8262,0.8408
rf,"['rdkit', 'morgan']",32,0.8732,0.8592
rf,['rdkit'],32,0.8668,0.8619
lr,['maccs'],32,0.8332,0.8388
lr,['mordred'],32,0.8094,0.8224
lr,"['morgan', 'maccs']",32,0.8812,0.8678
lr,"['morgan','mordred']",32,0.8540000000000001,0.8591
lr,['morgan'],32,0.8203,0.7541
lr,"['rdkit', 'maccs']",32,0.8836,0.8638
lr,"['rdkit', 'mordred']",32,0.8094,0.8224
lr,"['rdkit', 'morgan','mordred', 'maccs']",32,0.8818,0.8675
lr,"['rdkit', 'morgan']",32,0.8359,0.8538
lr,['rdkit'],32,0.8287,0.853
knn,['maccs'],32,0.8751,0.8606
knn,['mordred'],32,0.8574,0.8664
knn,"['morgan', 'maccs']",32,0.8753,0.8697
knn,"['morgan','mordred']",32,0.8691,0.8819
knn,['morgan'],32,0.8632,0.8785
knn,"['rdkit', 'maccs']",32,0.8849,0.882
knn,"['rdkit', 'mordred']",32,0.8608,0.8487
knn,"['rdkit', 'morgan','mordred', 'maccs']",32,0.8789,0.8756
knn,"['rdkit', 'morgan']",32,0.8552,0.8778
knn,['rdkit'],32,0.8562,0.8756
rf,['maccs'],64,0.8873,0.8778
rf,['mordred'],64,0.872,0.8726
rf,"['morgan', 'maccs']",64,0.8598,0.8759
rf,"['morgan','mordred']",64,0.843,0.8314
rf,['morgan'],64,0.8619,0.8901
rf,"['rdkit', 'maccs']",64,0.8751,0.8653
rf,"['rdkit', 'mordred']",64,0.8385,0.8542
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8740000000000001,0.8675
rf,"['rdkit', 'morgan']",64,0.8753,0.8743
rf,['rdkit'],64,0.8654,0.8535
lr,['maccs'],64,0.8332,0.8388
lr,['mordred'],64,0.8624,0.8565
lr,"['morgan', 'maccs']",64,0.8507,0.8533
lr,"['morgan','mordred']",64,0.8543,0.8624
lr,['morgan'],64,0.8202,0.8109999999999999
lr,"['rdkit', 'maccs']",64,0.8595,0.8709
lr,"['rdkit', 'mordred']",64,0.8094,0.8224
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8759999999999999,0.867
lr,"['rdkit', 'morgan']",64,0.8463,0.8619
lr,['rdkit'],64,0.8287,0.853
knn,['maccs'],64,0.8751,0.8606
knn,['mordred'],64,0.8574,0.8664
knn,"['morgan', 'maccs']",64,0.8855,0.8743
knn,"['morgan','mordred']",64,0.8583,0.8651
knn,['morgan'],64,0.856,0.8524
knn,"['rdkit', 'maccs']",64,0.8849,0.882
knn,"['rdkit', 'mordred']",64,0.8608,0.8487
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8799,0.879
knn,"['rdkit', 'morgan']",64,0.871,0.8884
knn,['rdkit'],64,0.8562,0.8756
xgb,"['morgan', 'maccs']",64,0.8557,0.856
xgb,"['morgan','mordred']",64,0.8759999999999999,0.8857
xgb,['morgan'],64,0.8735,0.8923
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8891,0.8909999999999999
xgb,"['rdkit', 'morgan']",64,0.8853,0.8754
svc,"['morgan', 'maccs']",64,0.8084,0.8184
svc,"['morgan','mordred']",64,0.8392,0.8435
svc,['morgan'],64,0.8253,0.8095
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8645,0.8624
svc,"['rdkit', 'morgan']",64,0.8541,0.8629
svc,"['morgan', 'maccs']",64,0.8628,0.8533
svc,"['morgan','mordred']",64,0.863,0.8731
svc,['morgan'],64,0.8221,0.8066
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8645,0.8624
svc,"['rdkit', 'morgan']",64,0.846,0.8516
svc,"['morgan', 'maccs']",64,0.8628,0.8532
svc,"['morgan','mordred']",64,0.863,0.8731
svc,['morgan'],64,0.8221,0.8065
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8645,0.8624
svc,"['rdkit', 'morgan']",64,0.846,0.8516
rf,['maccs'],64,0.8873,0.8778
rf,['mordred'],64,0.8588,0.8538
rf,"['morgan', 'maccs']",64,0.8805,0.8754
rf,"['morgan','mordred']",64,0.8751,0.8768
rf,['morgan'],64,0.86,0.8916
rf,"['rdkit', 'maccs']",64,0.8761,0.8690000000000001
rf,"['rdkit', 'mordred']",64,0.8595,0.8528
rf,"['rdkit', 'morgan','mordred', 'maccs']",64,0.8401,0.8336
rf,"['rdkit', 'morgan']",64,0.8742,0.8707
rf,['rdkit'],64,0.8699,0.8673
lr,['maccs'],64,0.8332,0.8388
lr,['mordred'],64,0.8484,0.8478
lr,"['morgan', 'maccs']",64,0.8507,0.8533
lr,"['morgan','mordred']",64,0.8595,0.8557
lr,['morgan'],64,0.8202,0.8109999999999999
lr,"['rdkit', 'maccs']",64,0.8685,0.8707
