Model,n_bits,ROC AUC,error
xgb, ,0.7834,0.0
svc, ,0.68265,4.999999999999449e-05
rf, ,0.77855,0.0023500000000000187
lr, ,0.77135,4.999999999999449e-05
knn, ,0.582,0.0
