Model,n_bits,ROC AUC,error
xgb, ,0.7802,0.0
svc, ,0.653,9.999999999998899e-05
rf, ,0.7857,0.005099999999999993
lr, ,0.73925,0.0032500000000000306
knn, ,0.4961,0.0
