,smiles,docking
35,c1ccccc1C[C@@H](C(=O)N([C@@H]2[C@@]34O)CCC2)N3C(=O)[C@](O4)(C(C)C)NC(=O)[C@H](C5)CN(C)[C@H](C6)[C@H]5C7=CC=CC([C@H]7C6=8)=NC8,-11.159239
36,C=12[C@@H]3C(=NC1)C=CC=C3C=4[C@@H](C2)N(C)C[C@@H](C4)C(=O)N[C@@](O5)(C)C(=O)N([C@@]56O)[C@@H](CC(C)C)C(=O)N[C@H]6Cc7ccccc7,-11.111884
37,C[N@H+]1CCC[C@@H]1CC(=CN2)[C@H](C=23)C=C(C=C3)NS(=O)(=O)c4cc(Cl)ccc4,-11.109824
38,C1CCN([C@@H]1[C@@]23O)C(=O)[C@H](CC(C)C)N2C(=O)[C@](O3)(C(C)C)NC(=O)[C@H](C4)CN(C)[C@H](C5)C=4C6=CC=CC([C@@H]6C5=7)=NC7Br,-11.105272
39,C1C[N@@H+](C)CC[C@@H]1C(=CN2)[C@@H](C=23)C=C(C=C3)NC(=O)CCCCCCCCC(=O)NC(C4)=CC=C(C4=5)N=CC5[C@H]6CC[N@H+](C)CC6,-11.104286
40,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCC(=O)Nc3ccc(cc3)NC(=O)COC(C4)=CC=C(C45)N=CC=5CC[NH3+],-11.06895
41,CC(=O)Nc(cc1)ccc1[C@H](C)[NH2+]C[C@H]2CC[N@@H+](CC2)CCCC(=CN3)[C@@H](C=34)C=C(C=C4)n5cnnc5,-11.064527
42,c1cc(C)nc(c12)cccc2OCC[N@@H+](CC3)CC[C@@H]3Cc4cc(ccc4)N5CCCC5=O,-11.060402
43,C=12[C@@H]3C(=NC1)C=CC=C3C=4[C@@H](C2)N(C)C[C@@H](C4)C(=O)N[C@@](O5)(C)C(=O)N([C@@]56O)[C@@H](CC(C)C)C(=O)N[C@H]6Cc7ccccc7,-11.050069
44,[NH3+]CCC=1C=NC(C12)=CC=C(C2)OCc(ccc3)cc3COC(C=C4)=C[C@@H](C4=5)C(=CN5)CC[NH3+],-11.038684
45,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCC(=O)N3CCN(CC3)C(=O)COC(C4)=CC=C(C45)N=CC=5CC[NH3+],-11.035795
46,CC(=O)Nc(cc1)ccc1C[NH2+]C[C@@H]2CC[N@@H+](C2)CCC(=CN3)[C@@H](C=34)C=C(C=C4)n5cnnc5,-11.035532
47,C1C[N@@H+](C)CC[C@@H]1C(=CN2)[C@H](C=23)C=C(C=C3)NC(=O)CCCCCCC(=O)NC(C4)=CC=C(C4=5)N=CC5[C@H]6CC[N@H+](C)CC6,-11.0255785
48,c1ccccc1C[C@@H](C(=O)N([C@@H]2[C@@]34O)CCC2)N3C(=O)[C@](O4)(C)NC(=O)[C@H](C5)CN(C)[C@H](C6)C=5C7=CC=CC([C@@H]7C6=8)=NC8,-11.021285
49,c1ccccc1[C@@](C)(CO)[NH2+][C@H]2CC[N@@H+](CC2)CCCC(=CN3)[C@H](C=34)C=C(C=C4)n5cnnc5,-11.018209
50,c1cccc(F)c1NC(=O)Nc(ccc2)cc2CC[NH+](CC3)CCN3c4cccc(c45)nc(C)cc5,-10.976493
51,[NH3+]CCC(=CN1)[C@@H](C=12)C=C(C=C2)OCCNC(=O)NCCOC(C3)=CC=C(C34)N=CC=4CC[NH3+],-10.961199
52,C1CCN([C@@H]1[C@@]23O)C(=O)[C@H](CC(C)C)N2C(=O)[C@](O3)(C(C)C)NC(=O)[C@H](C4)CN(C)[C@H](C5)C=4C6=CC=CC([C@@H]6C5=7)=NC7Br,-10.959972
53,c1ccccc1CCN2C(=O)COc(c23)ccc(c3)C[NH+](CC4)CCN4CCOc5cccc(c56)nc(C)cc6,-10.959474
54,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCCNC(=O)COC(C3)=CC=C(C34)N=CC=4CC[NH3+],-10.945173
55,[NH3+]CCC=1C=NC(C12)=CC=C(C2)OCCOc(c3)ccc(c34)cccc4N5CC[NH+](C)CC5,-10.941613
56,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCC(=O)Nc3ccc(cc3)N(CC4)CCN4C(=O)COC(C5)=CC=C(C56)N=CC=6CC[NH3+],-10.90824
57,[NH3+]CCC(=CN1)[C@@H](C=12)C=C(C=C2)OCCNC(=O)NCCOC(C3)=CC=C(C34)N=CC=4CC[NH3+],-10.903141
58,C=12[C@H]3C(=NC1)C=CC=C3C=4[C@@H](C2)N(C)C[C@@H](C4)C(=O)N[C@@](O5)(C)C(=O)N([C@@]56O)[C@@H](CC(C)C)C(=O)N[C@H]6Cc7ccccc7,-10.876727
59,C1C[N@@H+](C)CC[C@@H]1C(=CN2)[C@@H](C=23)C=C(C=C3)NC(=O)CCCC(=O)NC(C4)=CC=C(C4=5)N=CC5[C@H]6CC[N@H+](C)CC6,-10.871178
60,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCCNC(=O)COC(C3)=CC=C(C34)N=CC=4CC[NH3+],-10.866385
61,c1ccccc1C[C@@H](C(=O)N([C@@H]2[C@@]34O)CCC2)N3C(=O)[C@](O4)(C)NC(=O)[C@H](C5)CN(C)[C@H](C6)C=5C7=CC=CC([C@H]7C6=8)=NC8,-10.859236
62,c1cc(F)ccc1NC(=O)NC(C=C2)=N[C@H](C2=3)C(=CN3)[C@H]4CC[N@H+](C)CC4,-10.8569975
63,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCCNC(=O)COC(C3)=CC=C(C34)N=CC=4CC[NH3+],-10.851057
64,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCC(=O)N3CCN(CC3)C(=O)COC(C4)=CC=C(C45)N=CC=5CC[NH3+],-10.829164
65,[NH3+]CCC=1C=NC(C12)=CC=C(C2)OCC(=O)N3CCN(CC3)CCOC(C=C4)=C[C@@H](C4=5)C(=CN5)CC[NH3+],-10.828961
66,CC(=O)Nc(cc1)ccc1C[NH2+]C[C@@H]2CC[N@@H+](C2)CCC(=CN3)[C@@H](C=34)C=C(C=C4)n5cnnc5,-10.8232155
67,N1CCN(C1=O)CC[N@@H+](CC2)CC[C@@H]2c3cn(-c4ccc(F)cc4)c(c35)ccc(c5)-c6cncnc6,-10.808354
68,c1ccccc1C[C@@H](C(=O)N([C@@H]2[C@@]34O)CCC2)N3C(=O)[C@](O4)(C)NC(=O)[C@H](C5)CN(C)[C@H](C6)C=5C7=CC=CC([C@H]7C6=8)=NC8,-10.797878
69,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCCNC(=O)NCCOC(C3)=CC=C(C34)N=CC=4CC[NH3+],-10.792822
70,c1cccc(F)c1NC(=O)Nc(ccc2)cc2CC[NH+](CC3)CCN3c4cccc(c45)nc(C)cc5,-10.785551
71,c1cc(C)nc(c12)cccc2OCC[N@@H+](CC3)CC[C@@H]3Cc4cc(ccc4)C5CCN(CC5)S(=O)(=O)C,-10.783991
72,c1ccccc1CN(C(=O)C)C[C@@H]2CC[N@@H+](C2)CCC(=CN3)[C@H](C=34)C=C(C=C4)n5cnnc5,-10.775946
73,[NH3+]CCC(=CN1)[C@@H](C=12)C=C(C=C2)OCCNC(=O)COC(C3)=CC=C(C34)N=CC=4CC[NH3+],-10.762625
74,c1ccccc1NC(=O)Nc(ccc2)cc2CC[NH+](CC3)CCN3c4cccc(c45)nc(C)cc5,-10.759309
75,[NH3+]CCC=1C=NC(C12)=CC=C(C2)OCC(=O)N3CCN(CC3)CCOC(C=C4)=C[C@@H](C4=5)C(=CN5)CC[NH3+],-10.752368
76,CC(=O)Nc(cc1)ccc1C[NH2+]C[C@@H]2CC[N@H+](C2)CCC(=CN3)[C@@H](C=34)C=C(C=C4)n5cnnc5,-10.7425165
77,c1cc(O)c(CO)cc1[C@@H](O)C[NH2+]CCCCCCOCCCCc2cc(ccc2)S(=O)(=O)C3CCCC3,-10.73956
78,c1cc(C)nc(c12)cccc2OCC[N@@H+](CC3)CC[C@@H]3Cc4cc(ccc4)N5CCCC5=O,-10.730405
79,C1C[N@@H+](C)CC[C@@H]1C(=CN2)[C@H](C=23)C=C(C=C3)NC(=O)CCCCCCCCC(=O)NC(C4)=CC=C(C4=5)N=CC5[C@H]6CC[N@H+](C)CC6,-10.71191
80,c1cc(C(=O)N)cc(c12)CCO[C@@H]2CC[N@H+](CC3)CC[C@@H]3c4cccc(c45)cccc5,-10.700696
81,CC(=O)Nc(ccc1)cc1CC[NH+](CC2)CCN2CCCC(=CN3)[C@H](C=34)C=C(C=C4)n5cnnc5,-10.699786
82,C1C[N@@H+](C)CC[C@@H]1C(=CN2)[C@H](C=23)C=C(C=C3)NC(=O)CCCCCCCCC(=O)NC(C4)=CC=C(C4=5)N=CC5[C@H]6CC[N@H+](C)CC6,-10.699362
83,c1cccc(F)c1NC(=O)Nc(ccc2)cc2CC[NH+](CC3)CCN3c4cccc(c45)nc(C)cc5,-10.696657
84,c1cccn(c12)ncc2C(=O)N(CC3)c(c34)cc5c(c4)ccnc5N6CC[NH+](C)CC6,-10.694101
85,C1C[N@@H+](C)CC[C@@H]1C(=CN2)[C@H](C=23)C=C(C=C3)NC(=O)CCCCCCCCC(=O)NC(C4)=CC=C(C4=5)N=CC5[C@H]6CC[N@H+](C)CC6,-10.692574
86,c1cccc(OC)c1N(CC2)CCC2C(=O)Nc(c3)ccc(OC)c3N4CC[NH+](C)CC4,-10.672414
87,[NH3+]CCC(=CN1)[C@@H](C=12)C=C(C=C2)OCCCCCCOC(C3)=CC=C(C34)N=CC=4CC[NH3+],-10.671467
88,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCC(=O)Nc3ccc(cc3)N(CC4)CCN4C(=O)COC(C5)=CC=C(C56)N=CC=6CC[NH3+],-10.666765
89,c1cccc(OC)c1N(CC2)CCC2C(=O)Nc(c3)ccc(OC)c3N4CC[NH+](C)CC4,-10.641623
90,N1CCN(C1=O)CC[N@@H+](CC2)CC[C@@H]2c3cn(-c4ccc(F)cc4)c(c35)ccc(c5)-c6ncccn6,-10.640199
91,c1ccccc1[C@@H](CO)[N@H+](C)[C@H]2CC[N@@H+](CC2)CCCC(=CN3)[C@H](C=34)C=C(C=C4)n5cnnc5,-10.637932
92,c1ccccc1[C@@H](CO)[NH2+]C[C@@H]2CC[N@H+](C2)CCC(=CN3)[C@H](C=34)C=C(C=C4)n5cnnc5,-10.63608
93,c1nncn1C(C=C2)=C[C@H](C2=3)C(=CN3)CCC[N@H+](C4)CC[C@H]4COCc5ccccc5,-10.610208
94,c1ccccc1[C@@H](CCO)[NH2+][C@H]2CC[N@@H+](CC2)CCCC(=CN3)[C@H](C=34)C=C(C=C4)n5cnnc5,-10.604139
95,CC(=O)Nc(cc1)ccc1C[NH2+]C[C@H]2CC[N@@H+](CC2)CCCC(=CN3)[C@@H](C=34)C=C(C=C4)n5cnnc5,-10.593246
96,C1CCN([C@@H]1[C@@]23O)C(=O)[C@H](CC(C)C)N2C(=O)[C@](O3)(C(C)C)NC(=O)[C@H](C4)CN(C)[C@H](C5)C=4C6=CC=CC([C@@H]6C5=7)=NC7,-10.587717
97,N1CCN(C1=O)CC[N@@H+](CC2)CC[C@@H]2c3cn(-c4ccc(F)cc4)c(c35)ccc(c5)-c6nnnn6C,-10.586453
98,C1CCN([C@@H]1[C@@]23O)C(=O)[C@H](CC(C)C)N2C(=O)[C@](O3)(C(C)C)NC(=O)[C@H](C4)CN(C)[C@H](C5)C=4C6=CC=CC([C@@H]6C5=7)=NC7,-10.575594
99,O=C1N(C)[C@H](CO1)CC(C=C2)=C[C@@H](C2=3)C(=CN3)CC[N@@H+](C4)CC[C@H]4C[N@@H+](C)Cc5ccccc5,-10.568432
100,c1ccccc1-n(nc2)c(C)c2C(=O)N(CC3)c(c34)cc5c(c4)ccnc5N6CC[NH+](C)CC6,-10.555409
101,CC(=O)Nc(cc1)ccc1C[NH2+]C[C@@H]2CC[N@@H+](C2)CCC(=CN3)[C@@H](C=34)C=C(C=C4)n5cnnc5,-10.554237
102,[NH3+]CCC=1C=NC(C12)=CC=C(C2)OCc(ccc3)cc3COC(C=C4)=C[C@H](C4=5)C(=CN5)CC[NH3+],-10.552511
103,c1ccccc1[C@H](C)[NH2+][C@H]2CC[N@@H+](CC2)CCCC(=CN3)[C@@H](C=34)C=C(C=C4)n5cnnc5,-10.548952
