Model,n_bits,balanced,error
rf, ,0.5230699999999999,0.019224999999999992
lr, ,0.53599,0.0020499999999999963
knn, ,0.48925,0.0
svc, ,0.53845,0.0
xgb, ,0.5687,0.0
