Model,n_bits,ROC AUC,error
xgb, ,0.9614,0.0016999999999999793
svc, ,0.8746,0.0
rf, ,0.7236,0.04760000000000003
lr, ,0.87265,0.01435000000000003
knn, ,0.6088,0.012800000000000034
