Model,n_bits,ROC AUC,error
xgb, ,0.7739,0.0
svc, ,0.46235,4.999999999999449e-05
rf, ,0.71855,0.0025499999999999967
lr, ,0.48315,5.000000000002225e-05
knn, ,0.6191,0.0
