epoch;binary_accuracy;loss;val_binary_accuracy;val_loss
0;0.964269736671;0.575541663726;0.965525468217;0.555663901358
1;0.964269736696;0.575903903387;0.965525468217;0.555663901358
2;0.964269736658;0.575903903173;0.965525468217;0.555663901358
3;0.964269736683;0.575903903281;0.965525468217;0.555663901358
4;0.964269736671;0.575903904051;0.965525468217;0.555663901358
5;0.964269736671;0.575903903491;0.965525468217;0.555663901358
6;0.964269736646;0.575903904498;0.965525468217;0.555663901358
7;0.964269736658;0.575903902527;0.965525468217;0.555663901358
8;0.964269736646;0.575903903617;0.965525468217;0.555663901358
9;0.964269736683;0.575903903193;0.965525468217;0.555663901358
10;0.964269736671;0.575903903458;0.965525468217;0.555663901358
11;0.964269736658;0.575903903393;0.965525468217;0.555663901358
12;0.964269736671;0.575903903124;0.965525468217;0.555663901358
13;0.964269736671;0.575903903831;0.965525468217;0.555663901358
14;0.964269736671;0.575903903368;0.965525468217;0.555663901358
15;0.964269736696;0.575903904297;0.965525468217;0.555663901358
16;0.964269736671;0.575903903491;0.965525468217;0.555663901358
17;0.964269736658;0.575903904563;0.965525468217;0.555663901358
18;0.964269736646;0.575903903937;0.965525468217;0.555663901358
19;0.964269736658;0.575903903718;0.965525468217;0.555663901358
20;0.964269736646;0.575903903182;0.965525468217;0.555663901358
21;0.964269736696;0.575903903879;0.965525468217;0.555663901358
