epoch;acc;loss;val_acc;val_loss
0;0.542857142857;nan;0.833333313465;nan
1;0.899999998297;nan;0.833333313465;nan
2;0.9;nan;0.833333313465;nan
3;0.9;nan;0.833333313465;nan
4;0.899999998297;nan;0.833333313465;nan
5;0.9;nan;0.833333313465;nan
6;0.9;nan;0.833333313465;nan
7;0.9;nan;0.833333313465;nan
8;0.9;nan;0.833333313465;nan
9;0.9;nan;0.833333313465;nan
10;0.899999998297;nan;0.833333313465;nan
11;0.9;nan;0.833333313465;nan
12;0.9;nan;0.833333313465;nan
13;0.9;nan;0.833333313465;nan
14;0.899999998297;nan;0.833333313465;nan
15;0.899999998297;nan;0.833333313465;nan
16;0.899999998297;nan;0.833333313465;nan
17;0.9;nan;0.833333313465;nan
18;0.899999998297;nan;0.833333313465;nan
19;0.899999998297;nan;0.833333313465;nan
20;0.900000001703;nan;0.833333313465;nan
