epoch;acc;loss;val_acc;val_loss
0;0.9875;0.284374599159;0.899999976158;0.379224032164
1;0.9875;0.270877587795;0.899999976158;0.981729209423
2;0.9875;0.259868774563;0.899999976158;0.988012194633
3;0.9875;0.250836077332;0.899999976158;0.995806515217
4;0.9875;0.244472271204;0.899999976158;1.00687479973
5;0.9875;0.239479696751;0.899999976158;1.01913034916
6;0.9875;0.236167775467;0.899999976158;1.03782474995
7;0.9875;0.233364198729;0.899999976158;1.07599318027
8;0.9875;0.230990771577;0.899999976158;1.41839420795
9;0.9875;0.228755831718;0.899999976158;1.62946891785
10;0.9875;0.226060456038;0.899999976158;1.62803483009
11;0.9875;0.22391114831;0.899999976158;1.62670266628
12;0.9875;0.221889313683;0.899999976158;1.62575817108
13;0.9875;0.220241226256;0.899999976158;1.62479567528
14;0.9875;0.218438816816;0.899999976158;1.62350618839
15;0.9875;0.216620566882;0.899999976158;1.62266802788
16;0.9875;0.215440021455;0.899999976158;1.62182581425
17;0.9875;0.214424212184;0.899999976158;1.62114882469
18;0.9875;0.213354320824;0.899999976158;1.61993157864
19;0.9875;0.211894527636;0.899999976158;1.61882972717
20;0.9875;0.210715394095;0.899999976158;1.61805665493
21;0.9875;0.210043510702;0.899999976158;1.61751306057
