epoch;acc;loss;val_acc;val_loss
0;0.1125;nan;0.550000011921;nan
1;0.375;nan;0.550000011921;nan
2;0.375;nan;0.550000011921;nan
3;0.375;nan;0.550000011921;nan
4;0.375;nan;0.550000011921;nan
5;0.375;nan;0.550000011921;nan
6;0.375;nan;0.550000011921;nan
7;0.375;nan;0.550000011921;nan
8;0.375;nan;0.550000011921;nan
9;0.375;nan;0.550000011921;nan
10;0.375;nan;0.550000011921;nan
11;0.375;nan;0.550000011921;nan
12;0.375;nan;0.550000011921;nan
13;0.375;nan;0.550000011921;nan
14;0.375;nan;0.550000011921;nan
15;0.375;nan;0.550000011921;nan
16;0.375;nan;0.550000011921;nan
17;0.375;nan;0.550000011921;nan
18;0.375;nan;0.550000011921;nan
19;0.375;nan;0.550000011921;nan
20;0.375;nan;0.550000011921;nan
