Model,n_bits,ROC AUC,error
xgb, ,0.8728,0.0
svc, ,0.8572,0.0
rf, ,0.8536,0.0015999999999999903
lr, ,0.86115,4.999999999999449e-05
knn, ,0.872,0.0
