Model,n_bits,ROC AUC,error
xgb, ,0.8723,0.027400000000000035
svc, ,0.796,0.01419999999999999
rf, ,0.768866666667,0.060199999999999976
lr, ,0.732033333333,0.007599999999999996
knn, ,0.69244,0.02965000000000001
