Model,n_bits,ROC AUC,error
xgb, ,0.90095,0.0008500000000000174
svc, ,0.81585,0.01915
rf, ,0.7782,0.08279999999999998
lr, ,0.82125,0.0011499999999999844
knn, ,0.6412,0.0252
