Model,n_bits,ROC AUC,error
xgb, ,0.86815,0.010850000000000026
svc, ,0.9012,0.00039999999999995595
rf, ,0.8633,0.0015000000000000013
lr, ,0.7911,0.0
knn, ,0.633,0.0
