Model,n_bits,ROC AUC,error
xgb, ,0.86475,0.0009500000000000064
svc, ,0.7891,0.016100000000000003
rf, ,0.863283333333,0.020500000000000018
lr, ,0.8556,0.02234999999999998
knn, ,0.54076,0.025850000000000012
