Model,n_bits,ROC AUC,error
xgb, ,0.9254,0.0049000000000000155
svc, ,0.92085,0.00035000000000001696
rf, ,0.8379,0.0015000000000000013
lr, ,0.79925,0.02344999999999997
knn, ,0.64375,0.0024500000000000077
