Model,Descriptors,n_bits,ROC AUC,ROC AUC val
svc,['morgan'],512,0.8137,0.8394
svc,"['morgan', 'maccs']",512,0.8738,0.8640000000000001
svc,"['morgan','mordred']",512,0.8204,0.9151
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.7462,0.71
rf,"['rdkit', 'morgan']",512,0.7455,0.6818
rf,['morgan'],512,0.7006,0.7437
rf,"['morgan', 'maccs']",512,0.8693,0.7932
rf,"['morgan','mordred']",512,0.7288,0.6617
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8545,0.8625
lr,"['rdkit', 'morgan']",512,0.7864,0.9042
lr,['morgan'],512,0.7724,0.8975
lr,"['morgan', 'maccs']",512,0.7859,0.6345
lr,"['morgan','mordred']",512,0.8054,0.7437
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.6962,0.7881
knn,"['rdkit', 'morgan']",512,0.6114,0.6273
knn,['morgan'],512,0.5676,0.5379999999999999
knn,"['morgan', 'maccs']",512,0.6518,0.6088
knn,"['morgan','mordred']",512,0.6536,0.7433
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.9439,0.8802
xgb,"['rdkit', 'morgan']",1024,0.8318,0.8907
xgb,['morgan'],1024,0.8497,0.8871
xgb,"['morgan', 'maccs']",1024,0.9068,0.9065
xgb,"['morgan','mordred']",1024,0.7678,0.7992
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8621,0.9346
svc,"['rdkit', 'morgan']",1024,0.7515,0.8388
svc,['morgan'],1024,0.6709,0.8275
svc,"['morgan', 'maccs']",1024,0.8655,0.8849
svc,"['morgan','mordred']",1024,0.7866,0.9374
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.7924,0.8370000000000001
rf,"['rdkit', 'morgan']",1024,0.7523,0.669
rf,['morgan'],1024,0.7986,0.7053
rf,"['morgan', 'maccs']",1024,0.8693,0.7947
rf,"['morgan','mordred']",1024,0.7521,0.7496
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8402,0.7693
lr,"['rdkit', 'morgan']",1024,0.7629,0.6998
lr,['morgan'],1024,0.7025,0.899
lr,"['morgan', 'maccs']",1024,0.7814,0.6412
lr,"['morgan','mordred']",1024,0.8152,0.8584
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.6955,0.7799
knn,"['rdkit', 'morgan']",1024,0.6152,0.6273
knn,['morgan'],1024,0.7017,0.5715
knn,"['morgan', 'maccs']",1024,0.648,0.5581
knn,"['morgan','mordred']",1024,0.6536,0.747
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.9155,0.8779
xgb,"['rdkit', 'morgan']",2048,0.8,0.8028
xgb,['morgan'],2048,0.8866,0.8163
xgb,"['morgan', 'maccs']",2048,0.8993,0.8804
xgb,"['morgan','mordred']",2048,0.7494,0.7373
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8659,0.9264
svc,"['rdkit', 'morgan']",2048,0.7008,0.8208
svc,['morgan'],2048,0.6754,0.8327
