Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['morgan', 'maccs']",256,0.94660±0.01410,0.88130±0.01630
xgb,"['morgan','mordred']",256,0.75700±0.04120,0.69460±0.03980
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.86950±0.00000,0.78240±0.00000
svc,"['rdkit', 'morgan']",256,0.76735±0.00005,0.73465±0.00025
svc,['morgan'],256,0.76290±0.00540,0.71830±0.01630
svc,"['morgan', 'maccs']",256,0.88060±0.00000,0.79270±0.00000
svc,"['morgan','mordred']",256,0.82960±0.00000,0.79735±0.00035
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.78410±0.00120,0.74475±0.00285
rf,"['rdkit', 'morgan']",256,0.77435±0.00455,0.74685±0.01505
rf,['morgan'],256,0.76690±0.01680,0.66385±0.01975
rf,"['morgan', 'maccs']",256,0.73265±0.08915,0.70225±0.07555
rf,"['morgan','mordred']",256,0.71335±0.04505,0.72990±0.00680
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.85640±0.00000,0.77110±0.00000
lr,"['rdkit', 'morgan']",256,0.72590±0.00010,0.72620±0.00000
lr,['morgan'],256,0.71700±0.00000,0.72870±0.00000
lr,"['morgan', 'maccs']",256,0.78300±0.00000,0.74590±0.00000
lr,"['morgan','mordred']",256,0.80245±0.01095,0.75430±0.04050
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.61880±0.00000,0.67460±0.00000
knn,"['rdkit', 'morgan']",256,0.62470±0.03280,0.66405±0.03185
knn,['morgan'],256,0.54465±0.00005,0.56325±0.01675
knn,"['morgan', 'maccs']",256,0.52280±0.01210,0.63465±0.00065
knn,"['morgan','mordred']",256,0.68390±0.00000,0.65650±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.96670±0.00070,0.91280±0.00520
xgb,"['rdkit', 'morgan']",512,0.75030±0.04610,0.73675±0.06425
xgb,['morgan'],512,0.78020±0.03700,0.75155±0.00845
xgb,"['morgan', 'maccs']",512,0.89525±0.01315,0.78505±0.02635
xgb,"['morgan','mordred']",512,0.75125±0.02365,0.71520±0.01490
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.88010±0.00000,0.77735±0.00005
svc,"['rdkit', 'morgan']",512,0.76340±0.00000,0.74835±0.00035
svc,['morgan'],512,0.73510±0.00000,0.73340±0.00090
svc,"['morgan', 'maccs']",512,0.88220±0.00010,0.78630±0.00000
svc,"['morgan','mordred']",512,0.85060±0.00000,0.79415±0.00005
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.78875±0.00945,0.73590±0.00220
rf,"['rdkit', 'morgan']",512,0.75155±0.01535,0.72600±0.01640
rf,['morgan'],512,0.73585±0.02305,0.60460±0.07490
rf,"['morgan', 'maccs']",512,0.78660±0.00120,0.75915±0.00765
rf,"['morgan','mordred']",512,0.74655±0.01245,0.68660±0.02060
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.86200±0.00010,0.77005±0.00005
lr,"['rdkit', 'morgan']",512,0.73670±0.00000,0.73720±0.00000
lr,['morgan'],512,0.76740±0.00000,0.75810±0.00000
lr,"['morgan', 'maccs']",512,0.79070±0.00000,0.74630±0.00000
lr,"['morgan','mordred']",512,0.82955±0.01135,0.73455±0.01725
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.61750±0.00000,0.69230±0.00000
knn,"['rdkit', 'morgan']",512,0.61655±0.01715,0.58030±0.01520
knn,['morgan'],512,0.54740±0.00000,0.56330±0.00000
knn,"['morgan', 'maccs']",512,0.56220±0.03080,0.62930±0.01650
knn,"['morgan','mordred']",512,0.61790±0.00000,0.67610±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.96500±0.00170,0.92450±0.00230
xgb,"['rdkit', 'morgan']",1024,0.76360±0.00000,0.73920±0.00000
xgb,['morgan'],1024,0.75805±0.00595,0.71245±0.02415
xgb,"['morgan', 'maccs']",1024,0.93120±0.00110,0.87060±0.02620
xgb,"['morgan','mordred']",1024,0.78520±0.05670,0.75565±0.06015
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.89680±0.00000,0.78180±0.00030
svc,"['rdkit', 'morgan']",1024,0.78535±0.00135,0.76150±0.00000
svc,['morgan'],1024,0.74180±0.02460,0.74185±0.00875
svc,"['morgan', 'maccs']",1024,0.89900±0.00020,0.78800±0.00000
svc,"['morgan','mordred']",1024,0.85440±0.00000,0.80730±0.00010
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.75830±0.00630,0.73880±0.01360
rf,"['rdkit', 'morgan']",1024,0.76185±0.00825,0.71485±0.00165
rf,['morgan'],1024,0.70340±0.03000,0.65205±0.05235
rf,"['morgan', 'maccs']",1024,0.77045±0.01085,0.73915±0.00855
rf,"['morgan','mordred']",1024,0.72850±0.00990,0.70670±0.00680
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.86610±0.00000,0.77070±0.00000
lr,"['rdkit', 'morgan']",1024,0.76200±0.00000,0.75445±0.00005
lr,['morgan'],1024,0.79200±0.00000,0.77710±0.00000
lr,"['morgan', 'maccs']",1024,0.79800±0.00000,0.74940±0.00000
lr,"['morgan','mordred']",1024,0.85040±0.00060,0.75280±0.00340
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.62080±0.00000,0.67410±0.00000
knn,"['rdkit', 'morgan']",1024,0.52910±0.00470,0.58425±0.01785
knn,['morgan'],1024,0.55965±0.01345,0.59450±0.03240
knn,"['morgan', 'maccs']",1024,0.61855±0.02755,0.63020±0.00160
knn,"['morgan','mordred']",1024,0.64305±0.01885,0.66040±0.01300
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.96680±0.00110,0.92130±0.00270
xgb,"['rdkit', 'morgan']",2048,0.78810±0.00000,0.77860±0.00000
xgb,['morgan'],2048,0.78380±0.00870,0.69080±0.01430
xgb,"['morgan', 'maccs']",2048,0.89255±0.04015,0.83505±0.00865
