Model,ROC AUC,ROC AUC val
xgb,0.92829±0.02370,0.91174±0.01715
svc,0.89058±0.05120,0.90576±0.03615
rf,0.90987±0.03375,0.89442±0.03280
lr,0.90276±0.05880,0.90591±0.03405
knn,0.89737±0.03865,0.84078±0.05340
