Model,Descriptors,n_bits,ROC AUC,ROC AUC val
knn,"['rdkit', 'mordred']",32,0.645,0.8013
knn,"['rdkit', 'morgan']",32,0.4855,0.7045
knn,['morgan'],32,0.4516,0.6231
knn,"['morgan', 'maccs']",32,0.5006,0.7979999999999999
knn,"['morgan','mordred']",32,0.5915,0.8756
knn,['mordred'],32,0.6476,0.8056
knn,"['mordred', 'maccs']",32,0.616,0.7254
knn,['maccs'],32,0.5335,0.8043
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8834,0.8859
xgb,"['rdkit', 'morgan']",64,0.8815,0.9603
xgb,['morgan'],64,0.5273,0.7449
xgb,"['morgan', 'maccs']",64,0.8945,0.9394
xgb,"['morgan','mordred']",64,0.8815,0.8674
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.7699,0.8654
svc,"['rdkit', 'morgan']",64,0.6917,0.8909999999999999
svc,['morgan'],64,0.6638,0.6806
svc,"['morgan', 'maccs']",64,0.7959,0.8813
svc,"['morgan','mordred']",64,0.7308,0.8422
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8008,0.8526
rf,"['rdkit', 'morgan']",64,0.8279,0.9269
rf,['morgan'],64,0.6445,0.721
rf,"['morgan', 'maccs']",64,0.7233,0.8232
rf,"['morgan','mordred']",64,0.8102,0.7412
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8121,0.9115
lr,"['rdkit', 'morgan']",64,0.7169,0.9167
lr,['morgan'],64,0.6042,0.7828
lr,"['morgan', 'maccs']",64,0.8517,0.9091
lr,"['morgan','mordred']",64,0.7308,0.8763
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.6107,0.725
knn,"['rdkit', 'morgan']",64,0.4672,0.6179
knn,['morgan'],64,0.4718,0.5479999999999999
knn,"['morgan', 'maccs']",64,0.5366,0.7979999999999999
knn,"['morgan','mordred']",64,0.6421,0.8043
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8878,0.9244
xgb,"['rdkit', 'morgan']",256,0.8424,0.9603
xgb,['morgan'],256,0.7593,0.8851
xgb,"['morgan', 'maccs']",256,0.773,0.9066
xgb,"['morgan','mordred']",256,0.7184,0.721
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.7718,0.8641
svc,"['rdkit', 'morgan']",256,0.7503,0.8603
svc,['morgan'],256,0.7233,0.7879
svc,"['morgan', 'maccs']",256,0.7432,0.8737
svc,"['morgan','mordred']",256,0.7165,0.8485
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8663,0.8615
rf,"['rdkit', 'morgan']",256,0.8096,0.8064
rf,['morgan'],256,0.7025,0.7184
rf,"['morgan', 'maccs']",256,0.8009,0.779
rf,"['morgan','mordred']",256,0.812,0.7336
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8039,0.9077
lr,"['rdkit', 'morgan']",256,0.7799,0.8167
lr,['morgan'],256,0.6836,0.8182
lr,"['morgan', 'maccs']",256,0.84,0.9167
lr,"['morgan','mordred']",256,0.7289,0.8763
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.6107,0.7231
knn,"['rdkit', 'morgan']",256,0.5057,0.6353
knn,['morgan'],256,0.513,0.5511
knn,"['morgan', 'maccs']",256,0.6055,0.7121
knn,"['morgan','mordred']",256,0.6464,0.7266
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8783,0.9192
xgb,"['rdkit', 'morgan']",512,0.8436,0.9590000000000001
xgb,['morgan'],512,0.7469,0.9482
xgb,"['morgan', 'maccs']",512,0.7878,0.9646
xgb,"['morgan','mordred']",512,0.8852,0.8687
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.7364,0.9333
svc,"['rdkit', 'morgan']",512,0.7705,0.9179
svc,['morgan'],512,0.6998,0.9343
svc,"['morgan', 'maccs']",512,0.7971,0.9419
svc,"['morgan','mordred']",512,0.7841,0.9217
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8707,0.8808
rf,"['rdkit', 'morgan']",512,0.802,0.8718
rf,['morgan'],512,0.7754,0.7588
rf,"['morgan', 'maccs']",512,0.8052,0.8434
rf,"['morgan','mordred']",512,0.8145,0.7361
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8108,0.9359
lr,"['rdkit', 'morgan']",512,0.7667,0.9321
lr,['morgan'],512,0.6892,0.9571
lr,"['morgan', 'maccs']",512,0.8579,0.9520000000000001
lr,"['morgan','mordred']",512,0.768,0.8788
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.6781,0.7237
knn,"['rdkit', 'morgan']",512,0.4877,0.6346
knn,['morgan'],512,0.5223,0.5587
knn,"['morgan', 'maccs']",512,0.5378,0.7146
knn,"['morgan','mordred']",512,0.5081,0.7816
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8815,0.9179
xgb,"['rdkit', 'morgan']",1024,0.8083,0.8154
xgb,['morgan'],1024,0.745,0.9495
xgb,"['morgan', 'maccs']",1024,0.8170000000000001,0.9722
xgb,"['morgan','mordred']",1024,0.8846,0.8636
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.7137,0.909
svc,"['rdkit', 'morgan']",1024,0.7055,0.8923
svc,['morgan'],1024,0.6309,0.8939
svc,"['morgan', 'maccs']",1024,0.8027,0.9432
svc,"['morgan','mordred']",1024,0.7115,0.9306
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8335,0.7808
rf,"['rdkit', 'morgan']",1024,0.8190000000000001,0.7744
rf,['morgan'],1024,0.6362,0.7803
rf,"['morgan', 'maccs']",1024,0.7277,0.8018
rf,"['morgan','mordred']",1024,0.8406,0.8333
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8033,0.9385
lr,"['rdkit', 'morgan']",1024,0.7528,0.8859
lr,['morgan'],1024,0.6315,0.8813
lr,"['morgan', 'maccs']",1024,0.8728,0.9482
lr,"['morgan','mordred']",1024,0.7736,0.8914
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.633,0.6346
knn,"['rdkit', 'morgan']",1024,0.5249,0.5442
knn,['morgan'],1024,0.495,0.5511
knn,"['morgan', 'maccs']",1024,0.6008,0.6364
