Model,Descriptors,n_bits,ROC AUC,ROC AUC val
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8886,0.9187
svc,"['rdkit', 'morgan']",512,0.8831,0.9151
svc,['morgan'],512,0.8947,0.9059
svc,"['morgan', 'maccs']",512,0.8994,0.9242
svc,"['morgan','mordred']",512,0.897,0.9004
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.9029,0.8963
rf,"['rdkit', 'morgan']",512,0.9248,0.9051
rf,['morgan'],512,0.9052,0.8929
rf,"['morgan', 'maccs']",512,0.9241,0.909
rf,"['morgan','mordred']",512,0.9044,0.8929
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.9209999999999999,0.9142
lr,"['rdkit', 'morgan']",512,0.8984,0.9207
lr,['morgan'],512,0.9042,0.9073
lr,"['morgan', 'maccs']",512,0.9063,0.9247
lr,"['morgan','mordred']",512,0.9165,0.9051
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8975,0.8312
knn,"['rdkit', 'morgan']",512,0.8765,0.8164
knn,['morgan'],512,0.8652,0.8021
knn,"['morgan', 'maccs']",512,0.8603,0.8117
knn,"['morgan','mordred']",512,0.9287,0.8893
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.9268,0.9122
xgb,"['rdkit', 'morgan']",1024,0.9351,0.9133
xgb,['morgan'],1024,0.9451,0.9144
xgb,"['morgan', 'maccs']",1024,0.9428,0.9203
xgb,"['morgan','mordred']",1024,0.9237,0.91
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8918,0.9187
svc,"['rdkit', 'morgan']",1024,0.9028,0.9049
svc,['morgan'],1024,0.9114,0.8879
svc,"['morgan', 'maccs']",1024,0.9145,0.9087
svc,"['morgan','mordred']",1024,0.8898,0.9091
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.9167,0.9022
rf,"['rdkit', 'morgan']",1024,0.9246,0.9048
rf,['morgan'],1024,0.9302,0.8951
rf,"['morgan', 'maccs']",1024,0.9258,0.9078
rf,"['morgan','mordred']",1024,0.9129999999999999,0.8994
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.9205,0.9147
lr,"['rdkit', 'morgan']",1024,0.9137,0.9145
lr,['morgan'],1024,0.9233,0.8831
lr,"['morgan', 'maccs']",1024,0.9193,0.9208
lr,"['morgan','mordred']",1024,0.9229999999999999,0.9073
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.9091,0.8373
knn,"['rdkit', 'morgan']",1024,0.8854,0.8191
knn,['morgan'],1024,0.8714,0.7868
knn,"['morgan', 'maccs']",1024,0.8579,0.8001
knn,"['morgan','mordred']",1024,0.9237,0.8279
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.9226,0.9119
xgb,"['rdkit', 'morgan']",2048,0.9342,0.9128
