Model,Descriptors,n_bits,ROC AUC,ROC AUC val
lr,"['morgan', 'maccs']",64,0.84175±0.00995,0.89510±0.01400
lr,"['morgan','mordred']",64,0.74220±0.01140,0.81385±0.06245
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.61070±0.00000,0.72500±0.00000
knn,"['rdkit', 'morgan']",64,0.54540±0.07820,0.53570±0.08220
knn,['morgan'],64,0.48075±0.00895,0.53655±0.01145
knn,"['morgan', 'maccs']",64,0.54630±0.00970,0.73705±0.06095
knn,"['morgan','mordred']",64,0.64545±0.00335,0.70395±0.10035
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.88780±0.00000,0.92440±0.00000
xgb,"['rdkit', 'morgan']",256,0.83985±0.00255,0.87275±0.08755
xgb,['morgan'],256,0.78865±0.02935,0.77515±0.10995
xgb,"['morgan', 'maccs']",256,0.83710±0.06410,0.88570±0.02090
xgb,"['morgan','mordred']",256,0.78415±0.06575,0.76945±0.04845
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.77180±0.00000,0.86410±0.00000
svc,"['rdkit', 'morgan']",256,0.73235±0.01795,0.82440±0.03590
svc,['morgan'],256,0.72875±0.00545,0.76470±0.02320
svc,"['morgan', 'maccs']",256,0.76640±0.01740,0.85920±0.01100
svc,"['morgan','mordred']",256,0.74850±0.03200,0.83155±0.01695
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.86630±0.00000,0.86150±0.00000
rf,"['rdkit', 'morgan']",256,0.79350±0.01610,0.74705±0.05935
rf,['morgan'],256,0.69460±0.00790,0.71960±0.00120
rf,"['morgan', 'maccs']",256,0.81975±0.01885,0.73335±0.04565
rf,"['morgan','mordred']",256,0.78155±0.03045,0.65960±0.07400
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.80390±0.00000,0.90770±0.00000
lr,"['rdkit', 'morgan']",256,0.75945±0.02045,0.75330±0.06340
lr,['morgan'],256,0.70170±0.01810,0.77935±0.03885
lr,"['morgan', 'maccs']",256,0.83150±0.00850,0.89730±0.01940
lr,"['morgan','mordred']",256,0.74970±0.02080,0.81930±0.05700
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.61070±0.00000,0.72310±0.00000
knn,"['rdkit', 'morgan']",256,0.53310±0.02740,0.58120±0.05410
knn,['morgan'],256,0.50165±0.01135,0.57625±0.02515
knn,"['morgan', 'maccs']",256,0.57790±0.02760,0.67230±0.03980
knn,"['morgan','mordred']",256,0.62200±0.02440,0.66455±0.06205
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.87830±0.00000,0.91920±0.00000
xgb,"['rdkit', 'morgan']",512,0.78560±0.05800,0.86820±0.09080
xgb,['morgan'],512,0.78525±0.03835,0.84595±0.10225
xgb,"['morgan', 'maccs']",512,0.85575±0.06795,0.88525±0.07935
xgb,"['morgan','mordred']",512,0.86695±0.01825,0.84600±0.02270
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.73640±0.00000,0.93330±0.00000
svc,"['rdkit', 'morgan']",512,0.79700±0.02650,0.81165±0.10625
svc,['morgan'],512,0.76295±0.06315,0.78175±0.15255
svc,"['morgan', 'maccs']",512,0.81070±0.01360,0.89080±0.05110
svc,"['morgan','mordred']",512,0.80730±0.02320,0.83925±0.08245
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.87070±0.00000,0.88080±0.00000
rf,"['rdkit', 'morgan']",512,0.78780±0.01420,0.77365±0.09815
