Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['morgan', 'maccs']",256,0.90710±0.00000,0.89960±0.00000
xgb,"['morgan','mordred']",256,0.87790±0.00000,0.88890±0.00000
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.90250±0.00000,0.89575±0.00005
svc,"['rdkit', 'morgan']",256,0.84505±0.00005,0.85650±0.00000
svc,['morgan'],256,0.87630±0.00000,0.87630±0.00000
svc,"['morgan', 'maccs']",256,0.88830±0.00000,0.89400±0.00000
svc,"['morgan','mordred']",256,0.85690±0.00000,0.85590±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.84530±0.00740,0.84985±0.00395
rf,"['rdkit', 'morgan']",256,0.85605±0.00985,0.86945±0.01175
rf,['morgan'],256,0.86745±0.00675,0.88225±0.01135
rf,"['morgan', 'maccs']",256,0.88305±0.00345,0.89165±0.01335
rf,"['morgan','mordred']",256,0.84700±0.00730,0.83940±0.01140
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.88815±0.00045,0.87875±0.00095
lr,"['rdkit', 'morgan']",256,0.87475±0.00125,0.86390±0.00210
lr,['morgan'],256,0.85830±0.00000,0.87780±0.00000
lr,"['morgan', 'maccs']",256,0.88575±0.00005,0.88810±0.00000
lr,"['morgan','mordred']",256,0.87320±0.00000,0.87540±0.00000
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.87680±0.00000,0.88510±0.00000
knn,"['rdkit', 'morgan']",256,0.83580±0.00000,0.85790±0.00000
knn,['morgan'],256,0.86000±0.00000,0.85350±0.00000
knn,"['morgan', 'maccs']",256,0.86880±0.00000,0.82010±0.00000
knn,"['morgan','mordred']",256,0.87660±0.00000,0.90280±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.83490±0.00000,0.83760±0.00000
xgb,"['rdkit', 'morgan']",512,0.88600±0.00000,0.87970±0.00000
xgb,['morgan'],512,0.90940±0.00000,0.88390±0.00000
xgb,"['morgan', 'maccs']",512,0.90960±0.00000,0.89520±0.00000
xgb,"['morgan','mordred']",512,0.83800±0.00000,0.84320±0.00000
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.90250±0.00000,0.88955±0.00005
svc,"['rdkit', 'morgan']",512,0.89210±0.00000,0.88660±0.00000
svc,['morgan'],512,0.89150±0.00000,0.88710±0.00000
svc,"['morgan', 'maccs']",512,0.90230±0.00000,0.89970±0.00000
svc,"['morgan','mordred']",512,0.88620±0.00000,0.88810±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.84155±0.01725,0.84310±0.00530
rf,"['rdkit', 'morgan']",512,0.86575±0.00035,0.86805±0.00235
rf,['morgan'],512,0.88115±0.00015,0.90340±0.00010
rf,"['morgan', 'maccs']",512,0.89095±0.00255,0.90320±0.00180
rf,"['morgan','mordred']",512,0.84725±0.01095,0.83765±0.00645
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.89220±0.00000,0.88255±0.00035
lr,"['rdkit', 'morgan']",512,0.88380±0.00010,0.88730±0.00000
lr,['morgan'],512,0.85830±0.00000,0.84730±0.00000
lr,"['morgan', 'maccs']",512,0.89190±0.00000,0.89920±0.00000
lr,"['morgan','mordred']",512,0.87760±0.00010,0.87510±0.00020
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.87610±0.00000,0.87580±0.00000
knn,"['rdkit', 'morgan']",512,0.84760±0.00000,0.83390±0.00000
knn,['morgan'],512,0.81700±0.00000,0.79430±0.00000
knn,"['morgan', 'maccs']",512,0.87740±0.00000,0.85820±0.00000
knn,"['morgan','mordred']",512,0.86970±0.00000,0.86540±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.88100±0.00000,0.87210±0.00000
xgb,"['rdkit', 'morgan']",1024,0.88880±0.00000,0.87270±0.00000
xgb,['morgan'],1024,0.90160±0.00000,0.89420±0.00000
xgb,"['morgan', 'maccs']",1024,0.90400±0.00000,0.89620±0.00000
xgb,"['morgan','mordred']",1024,0.85450±0.00000,0.86240±0.00000
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.88760±0.00000,0.88610±0.00000
svc,"['rdkit', 'morgan']",1024,0.88690±0.00000,0.89490±0.00000
svc,['morgan'],1024,0.89140±0.00000,0.90620±0.00000
svc,"['morgan', 'maccs']",1024,0.90440±0.00000,0.89845±0.00015
svc,"['morgan','mordred']",1024,0.87490±0.00000,0.88025±0.00005
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.85880±0.00030,0.85025±0.00075
rf,"['rdkit', 'morgan']",1024,0.85025±0.01495,0.84930±0.01900
rf,['morgan'],1024,0.89025±0.00005,0.90225±0.00765
rf,"['morgan', 'maccs']",1024,0.89310±0.00280,0.90615±0.00135
rf,"['morgan','mordred']",1024,0.85115±0.00035,0.83905±0.00785
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.90210±0.00020,0.88100±0.00000
lr,"['rdkit', 'morgan']",1024,0.88560±0.00060,0.89700±0.00750
lr,['morgan'],1024,0.88200±0.00020,0.90480±0.00020
lr,"['morgan', 'maccs']",1024,0.90125±0.00035,0.90330±0.00000
lr,"['morgan','mordred']",1024,0.88290±0.00000,0.88730±0.00000
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.87260±0.00000,0.87140±0.00000
knn,"['rdkit', 'morgan']",1024,0.87550±0.00000,0.87180±0.00000
knn,['morgan'],1024,0.85270±0.00000,0.84590±0.00000
knn,"['morgan', 'maccs']",1024,0.86500±0.00000,0.82830±0.00000
knn,"['morgan','mordred']",1024,0.87260±0.00000,0.87570±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.86730±0.00000,0.88620±0.00000
xgb,"['rdkit', 'morgan']",2048,0.83710±0.00000,0.86340±0.00000
xgb,['morgan'],2048,0.90580±0.00000,0.88490±0.00000
xgb,"['morgan', 'maccs']",2048,0.91270±0.00000,0.89840±0.00000
xgb,"['morgan','mordred']",2048,0.84960±0.00000,0.86090±0.00000
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.90510±0.00000,0.88920±0.00000
