Model,Descriptors,n_bits,ROC AUC,ROC AUC val
svc,"['rdkit', 'morgan']",512,0.7634,0.748
svc,['morgan'],512,0.7351,0.7343
svc,"['morgan', 'maccs']",512,0.8823,0.7863
svc,"['morgan','mordred']",512,0.8506,0.7942
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.7793,0.7381
rf,"['rdkit', 'morgan']",512,0.7669,0.7424
rf,['morgan'],512,0.7589,0.6795
rf,"['morgan', 'maccs']",512,0.7878,0.7668
rf,"['morgan','mordred']",512,0.7341,0.7072
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8621,0.7701
lr,"['rdkit', 'morgan']",512,0.7367,0.7372
lr,['morgan'],512,0.7674,0.7581
lr,"['morgan', 'maccs']",512,0.7907,0.7463
lr,"['morgan','mordred']",512,0.8409,0.7518
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.6175,0.6923
knn,"['rdkit', 'morgan']",512,0.6337,0.5955
knn,['morgan'],512,0.5474,0.5633
knn,"['morgan', 'maccs']",512,0.593,0.6128
knn,"['morgan','mordred']",512,0.6179,0.6761
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.9633,0.9268
xgb,"['rdkit', 'morgan']",1024,0.7636,0.7392
xgb,['morgan'],1024,0.7521,0.6883
xgb,"['morgan', 'maccs']",1024,0.9301,0.8968
xgb,"['morgan','mordred']",1024,0.8419,0.8158
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8968,0.7821
svc,"['rdkit', 'morgan']",1024,0.7867,0.7615
svc,['morgan'],1024,0.7664,0.7506
svc,"['morgan', 'maccs']",1024,0.8992,0.7879999999999999
svc,"['morgan','mordred']",1024,0.8544,0.8074
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.7646,0.7252
rf,"['rdkit', 'morgan']",1024,0.7536,0.7165
rf,['morgan'],1024,0.7334,0.7044
rf,"['morgan', 'maccs']",1024,0.7813,0.7477
rf,"['morgan','mordred']",1024,0.7384,0.6999
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8661,0.7707
lr,"['rdkit', 'morgan']",1024,0.762,0.7544
lr,['morgan'],1024,0.792,0.7771
lr,"['morgan', 'maccs']",1024,0.7979999999999999,0.7494
lr,"['morgan','mordred']",1024,0.851,0.7562
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.6208,0.6741
knn,"['rdkit', 'morgan']",1024,0.5244,0.5664
knn,['morgan'],1024,0.5462,0.5621
knn,"['morgan', 'maccs']",1024,0.591,0.6318
knn,"['morgan','mordred']",1024,0.6619,0.6734
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.9657,0.9186
xgb,"['rdkit', 'morgan']",2048,0.7881,0.7786
xgb,['morgan'],2048,0.7751,0.6765
