Model,Descriptors,n_bits,ROC AUC,ROC AUC val
svc,"['rdkit', 'morgan']",512,0.4641,0.5424
svc,['morgan'],512,0.5223,0.5483
svc,"['morgan', 'maccs']",512,0.4783,0.4949
svc,"['morgan','mordred']",512,0.6181,0.5136
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.723,0.6027
rf,"['rdkit', 'morgan']",512,0.8012,0.5878
rf,['morgan'],512,0.6504,0.5998
rf,"['morgan', 'maccs']",512,0.6903,0.6045
rf,"['morgan','mordred']",512,0.8055,0.6548
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.7154,0.5734
lr,"['rdkit', 'morgan']",512,0.5326,0.5825
lr,['morgan'],512,0.5187,0.531
lr,"['morgan', 'maccs']",512,0.4779,0.5231
lr,"['morgan','mordred']",512,0.7141,0.5453
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.4981,0.5138
knn,"['rdkit', 'morgan']",512,0.5326,0.4451
knn,['morgan'],512,0.4931,0.4278
knn,"['morgan', 'maccs']",512,0.6182,0.4434
knn,"['morgan','mordred']",512,0.5858,0.5205
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.6287,0.5877
xgb,"['rdkit', 'morgan']",1024,0.7198,0.5764
xgb,['morgan'],1024,0.6072,0.4227
xgb,"['morgan', 'maccs']",1024,0.5572,0.4706
xgb,"['morgan','mordred']",1024,0.7748,0.6622
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.5356,0.4814
svc,"['rdkit', 'morgan']",1024,0.4817,0.5157
svc,['morgan'],1024,0.4415,0.4785
svc,"['morgan', 'maccs']",1024,0.4635,0.4309
svc,"['morgan','mordred']",1024,0.6214,0.4879
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.7858,0.5834
rf,"['rdkit', 'morgan']",1024,0.5321,0.5551
rf,['morgan'],1024,0.6719,0.4243
rf,"['morgan', 'maccs']",1024,0.6218,0.6869
rf,"['morgan','mordred']",1024,0.7615,0.6806
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.701,0.5268
lr,"['rdkit', 'morgan']",1024,0.5459,0.5202
lr,['morgan'],1024,0.489,0.4849
lr,"['morgan', 'maccs']",1024,0.4882,0.4741
lr,"['morgan','mordred']",1024,0.7135,0.5084
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.5186,0.5234
knn,"['rdkit', 'morgan']",1024,0.5207,0.3892
knn,['morgan'],1024,0.3844,0.4615
knn,"['morgan', 'maccs']",1024,0.5749,0.4086
knn,"['morgan','mordred']",1024,0.5604,0.5395
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.7937,0.6563
xgb,"['rdkit', 'morgan']",2048,0.6143,0.5526
xgb,['morgan'],2048,0.5742,0.3803
xgb,"['morgan', 'maccs']",2048,0.6446,0.5021
xgb,"['morgan','mordred']",2048,0.7469,0.6291
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.6946,0.516
svc,"['rdkit', 'morgan']",2048,0.47700000000000004,0.5426
svc,['morgan'],2048,0.4963,0.5391
svc,"['morgan', 'maccs']",2048,0.5118,0.5837
svc,"['morgan','mordred']",2048,0.6016,0.62
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.7584,0.5873
rf,"['rdkit', 'morgan']",2048,0.7793,0.6704
rf,['morgan'],2048,0.6554,0.4719
rf,"['morgan', 'maccs']",2048,0.6828,0.5202
rf,"['morgan','mordred']",2048,0.7871,0.6281
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.7337,0.5435
lr,"['rdkit', 'morgan']",2048,0.5798,0.5871
lr,['morgan'],2048,0.5267,0.5381
lr,"['morgan', 'maccs']",2048,0.5468,0.5707
lr,"['morgan','mordred']",2048,0.7091,0.5755
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.52,0.5215
knn,"['rdkit', 'morgan']",2048,0.4592,0.5101
knn,['morgan'],2048,0.4819,0.5558
knn,"['morgan', 'maccs']",2048,0.5968,0.3809
knn,"['morgan','mordred']",2048,0.5867,0.5334
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.7440000000000001,0.6487
xgb,['rdkit'],32,0.7857,0.6625
xgb,"['rdkit', 'maccs']",32,0.7739,0.6583
xgb,"['rdkit', 'mordred']",32,0.7857,0.6625
xgb,"['rdkit', 'morgan']",32,0.7502,0.6425
xgb,['morgan'],32,0.5949,0.6254
xgb,"['morgan', 'maccs']",32,0.5305,0.5871
xgb,"['morgan','mordred']",32,0.792,0.6558
xgb,['mordred'],32,0.7834,0.6502
xgb,"['mordred', 'maccs']",32,0.7802,0.6588
xgb,['maccs'],32,0.5007,0.5227
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.6406,0.4993
svc,['rdkit'],32,0.5765,0.5609
svc,"['rdkit', 'maccs']",32,0.4623,0.5448
svc,"['rdkit', 'mordred']",32,0.6542,0.5319
svc,"['rdkit', 'morgan']",32,0.6916,0.5051
svc,['morgan'],32,0.6707,0.4975
svc,"['morgan', 'maccs']",32,0.4495,0.4381
svc,"['morgan','mordred']",32,0.6633,0.4825
svc,['mordred'],32,0.6827,0.4709
svc,"['mordred', 'maccs']",32,0.6531,0.4581
svc,['maccs'],32,0.3848,0.5153
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.7977,0.6869
rf,['rdkit'],32,0.7579,0.6254
rf,"['rdkit', 'maccs']",32,0.716,0.5791
rf,"['rdkit', 'mordred']",32,0.7903,0.6456
rf,"['rdkit', 'morgan']",32,0.7115,0.5968
rf,['morgan'],32,0.6745,0.5837
rf,"['morgan', 'maccs']",32,0.5921,0.6262
rf,"['morgan','mordred']",32,0.7299,0.6378
rf,['mordred'],32,0.7809,0.6589
rf,"['mordred', 'maccs']",32,0.7806,0.665
rf,['maccs'],32,0.5577,0.5367
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.7308,0.5186
lr,['rdkit'],32,0.5956,0.5929
lr,"['rdkit', 'maccs']",32,0.4831,0.531
lr,"['rdkit', 'mordred']",32,0.7574,0.5362
lr,"['rdkit', 'morgan']",32,0.6970000000000001,0.5813
lr,['morgan'],32,0.7242,0.5156
lr,"['morgan', 'maccs']",32,0.4857,0.4829
lr,"['morgan','mordred']",32,0.7749,0.5259
lr,['mordred'],32,0.7714,0.5325
lr,"['mordred', 'maccs']",32,0.736,0.4982
lr,['maccs'],32,0.4037,0.4086
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.6467,0.5327
knn,['rdkit'],32,0.447,0.6764
knn,"['rdkit', 'maccs']",32,0.6191,0.5111
knn,"['rdkit', 'mordred']",32,0.5825,0.5428
knn,"['rdkit', 'morgan']",32,0.4448,0.6488
knn,['morgan'],32,0.436,0.5166
knn,"['morgan', 'maccs']",32,0.6684,0.413
knn,"['morgan','mordred']",32,0.6042,0.5461
knn,['mordred'],32,0.5820000000000001,0.5423
knn,"['mordred', 'maccs']",32,0.4961,0.5154
knn,['maccs'],32,0.6483,0.4042
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.7856,0.6502
xgb,"['rdkit', 'morgan']",64,0.7045,0.4977
xgb,['morgan'],64,0.7505,0.4555
xgb,"['morgan', 'maccs']",64,0.5763,0.4964
xgb,"['morgan','mordred']",64,0.7795,0.6716
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.6458,0.4971
svc,"['rdkit', 'morgan']",64,0.6459,0.4682
svc,['morgan'],64,0.741,0.382
svc,"['morgan', 'maccs']",64,0.5103,0.4432
svc,"['morgan','mordred']",64,0.6713,0.4577
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.7863,0.6702
rf,"['rdkit', 'morgan']",64,0.7984,0.5724
rf,['morgan'],64,0.79,0.5293
rf,"['morgan', 'maccs']",64,0.6407,0.4639
rf,"['morgan','mordred']",64,0.7954,0.6391
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.7381,0.5178
lr,"['rdkit', 'morgan']",64,0.6685,0.4768
lr,['morgan'],64,0.7121,0.363
lr,"['morgan', 'maccs']",64,0.5401,0.4857
lr,"['morgan','mordred']",64,0.7863,0.4954
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.6528,0.5128
knn,"['rdkit', 'morgan']",64,0.5229,0.4842
knn,['morgan'],64,0.5513,0.4702
knn,"['morgan', 'maccs']",64,0.5877,0.41200000000000003
knn,"['morgan','mordred']",64,0.6017,0.523
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.7805,0.6603
xgb,"['rdkit', 'morgan']",256,0.7189,0.5326
xgb,['morgan'],256,0.6672,0.55
xgb,"['morgan', 'maccs']",256,0.5594,0.6234
xgb,"['morgan','mordred']",256,0.7819,0.6484
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.6072,0.4623
svc,"['rdkit', 'morgan']",256,0.5575,0.4202
svc,['morgan'],256,0.605,0.4194
svc,"['morgan', 'maccs']",256,0.5374,0.5085
svc,"['morgan','mordred']",256,0.6468,0.4194
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.7882,0.6684
rf,"['rdkit', 'morgan']",256,0.6779,0.6224
rf,['morgan'],256,0.647,0.6401
rf,"['morgan', 'maccs']",256,0.5537,0.4922
rf,"['morgan','mordred']",256,0.7852,0.6718
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.7187,0.5126
lr,"['rdkit', 'morgan']",256,0.5921,0.4827
lr,['morgan'],256,0.5944,0.4178
lr,"['morgan', 'maccs']",256,0.5343,0.4593
lr,"['morgan','mordred']",256,0.7551,0.4918
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.5385,0.5354
knn,"['rdkit', 'morgan']",256,0.5686,0.5751
knn,['morgan'],256,0.3704,0.4639
knn,"['morgan', 'maccs']",256,0.6312,0.4236
knn,"['morgan','mordred']",256,0.5805,0.5186
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.7851,0.6492
xgb,"['rdkit', 'morgan']",512,0.6811,0.6188
xgb,['morgan'],512,0.5169,0.529
xgb,"['morgan', 'maccs']",512,0.6135,0.6302
xgb,"['morgan','mordred']",512,0.7021,0.5951
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.537,0.5285
svc,"['rdkit', 'morgan']",512,0.4641,0.5424
svc,['morgan'],512,0.5223,0.5483
svc,"['morgan', 'maccs']",512,0.4784,0.495
svc,"['morgan','mordred']",512,0.6181,0.5135
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.7801,0.6684
rf,"['rdkit', 'morgan']",512,0.7979999999999999,0.6542
rf,['morgan'],512,0.7333,0.5710000000000001
rf,"['morgan', 'maccs']",512,0.5802,0.5978
rf,"['morgan','mordred']",512,0.7855,0.6719
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.7034,0.5395
lr,"['rdkit', 'morgan']",512,0.5326,0.5825
lr,['morgan'],512,0.5187,0.531
lr,"['morgan', 'maccs']",512,0.4821,0.5301
lr,"['morgan','mordred']",512,0.7234,0.5623
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.4981,0.5138
knn,"['rdkit', 'morgan']",512,0.5326,0.4451
knn,['morgan'],512,0.4931,0.4278
knn,"['morgan', 'maccs']",512,0.6182,0.4434
knn,"['morgan','mordred']",512,0.5858,0.5205
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.6287,0.5877
xgb,"['rdkit', 'morgan']",1024,0.7198,0.5764
xgb,['morgan'],1024,0.6072,0.4227
xgb,"['morgan', 'maccs']",1024,0.5572,0.4706
xgb,"['morgan','mordred']",1024,0.7748,0.6622
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.5356,0.4814
svc,"['rdkit', 'morgan']",1024,0.4818,0.5156
svc,['morgan'],1024,0.4413,0.4785
svc,"['morgan', 'maccs']",1024,0.4635,0.4309
svc,"['morgan','mordred']",1024,0.6215,0.488
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.7731,0.6018
rf,"['rdkit', 'morgan']",1024,0.6692,0.6308
rf,['morgan'],1024,0.6892,0.5014
rf,"['morgan', 'maccs']",1024,0.6041,0.5339
rf,"['morgan','mordred']",1024,0.643,0.6668
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.7403,0.5292
lr,"['rdkit', 'morgan']",1024,0.5459,0.5202
lr,['morgan'],1024,0.4891,0.4849
lr,"['morgan', 'maccs']",1024,0.4882,0.4741
lr,"['morgan','mordred']",1024,0.7135,0.5084
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.5186,0.5234
knn,"['rdkit', 'morgan']",1024,0.5207,0.3892
knn,['morgan'],1024,0.3844,0.4615
knn,"['morgan', 'maccs']",1024,0.5749,0.4086
knn,"['morgan','mordred']",1024,0.5604,0.5395
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.7937,0.6563
xgb,"['rdkit', 'morgan']",2048,0.6143,0.5526
xgb,['morgan'],2048,0.5742,0.3803
xgb,"['morgan', 'maccs']",2048,0.6446,0.5021
xgb,"['morgan','mordred']",2048,0.7469,0.6291
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.6946,0.516
svc,"['rdkit', 'morgan']",2048,0.47700000000000004,0.5425
svc,['morgan'],2048,0.4963,0.5391
svc,"['morgan', 'maccs']",2048,0.5118,0.5834
svc,"['morgan','mordred']",2048,0.6016,0.6201
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.777,0.5947
rf,"['rdkit', 'morgan']",2048,0.7695,0.6676
rf,['morgan'],2048,0.6708,0.4785
rf,"['morgan', 'maccs']",2048,0.685,0.5592
rf,"['morgan','mordred']",2048,0.7741,0.6604
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.7278,0.5649
lr,"['rdkit', 'morgan']",2048,0.5798,0.5871
lr,['morgan'],2048,0.5267,0.5381
lr,"['morgan', 'maccs']",2048,0.4999,0.5284
lr,"['morgan','mordred']",2048,0.7091,0.5755
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.52,0.5215
knn,"['rdkit', 'morgan']",2048,0.4592,0.5101
knn,['morgan'],2048,0.4819,0.5558
knn,"['morgan', 'maccs']",2048,0.5968,0.3809
knn,"['morgan','mordred']",2048,0.5867,0.5334
