Model,ROC AUC,ROC AUC val
xgb,0.69127±0.14650,0.58953±0.14565
svc,0.57340±0.17810,0.49460±0.11920
rf,0.71696±0.17645,0.60630±0.15070
lr,0.63294±0.19130,0.51444±0.11500
knn,0.54756±0.14900,0.49841±0.14775
