Model,ROC AUC,ROC AUC val
xgb,0.87000±0.04010,0.87302±0.03170
svc,0.87590±0.04610,0.87537±0.06920
rf,0.86012±0.04730,0.86128±0.06650
lr,0.87006±0.05190,0.86955±0.06635
knn,0.86815±0.03520,0.86520±0.05425
