Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['morgan', 'maccs']",256,0.93525±0.00495,0.91095±0.00325
xgb,"['morgan','mordred']",256,0.92560±0.00020,0.91225±0.00125
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.89605±0.00535,0.91315±0.00385
svc,"['rdkit', 'morgan']",256,0.88835±0.00385,0.90855±0.00065
svc,['morgan'],256,0.88130±0.00060,0.89030±0.00190
svc,"['morgan', 'maccs']",256,0.89520±0.00000,0.92010±0.00000
svc,"['morgan','mordred']",256,0.89290±0.00000,0.90400±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.88785±0.01635,0.87460±0.01940
rf,"['rdkit', 'morgan']",256,0.92560±0.00060,0.90235±0.00085
rf,['morgan'],256,0.90795±0.00045,0.90430±0.00220
rf,"['morgan', 'maccs']",256,0.92175±0.00265,0.90685±0.00325
rf,"['morgan','mordred']",256,0.90845±0.00255,0.89005±0.00095
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.91870±0.00000,0.91440±0.00000
lr,"['rdkit', 'morgan']",256,0.89790±0.00000,0.91820±0.00000
lr,['morgan'],256,0.90220±0.00000,0.90080±0.00000
lr,"['morgan', 'maccs']",256,0.90170±0.00000,0.92230±0.00000
lr,"['morgan','mordred']",256,0.91090±0.00010,0.90500±0.00220
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.91170±0.00000,0.84040±0.00000
knn,"['rdkit', 'morgan']",256,0.89140±0.00000,0.85010±0.00000
knn,['morgan'],256,0.89435±0.01365,0.84160±0.01430
knn,"['morgan', 'maccs']",256,0.88760±0.00000,0.87290±0.00000
knn,"['morgan','mordred']",256,0.93290±0.00230,0.87400±0.01960
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.92880±0.00150,0.91365±0.00145
xgb,"['rdkit', 'morgan']",512,0.93010±0.00080,0.90910±0.00260
xgb,['morgan'],512,0.94340±0.00010,0.91410±0.00030
xgb,"['morgan', 'maccs']",512,0.93360±0.00800,0.92350±0.00090
xgb,"['morgan','mordred']",512,0.92320±0.00130,0.91335±0.00185
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.89585±0.00725,0.91195±0.00675
svc,"['rdkit', 'morgan']",512,0.87810±0.00500,0.91070±0.00440
svc,['morgan'],512,0.88865±0.00605,0.90620±0.00030
svc,"['morgan', 'maccs']",512,0.89940±0.00000,0.92420±0.00000
svc,"['morgan','mordred']",512,0.89700±0.00000,0.90040±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.90680±0.00390,0.89800±0.00170
